NOK_per_kWh;EUR_per_kWh;EXR;time_start;time_end;area
0.74803;0.064;11.688;2025-09-26T00:00:00+02:00;2025-09-26T01:00:00+02:00;NO1
0.74569;0.0638;11.688;2025-09-26T01:00:00+02:00;2025-09-26T02:00:00+02:00;NO1
0.74745;0.06395;11.688;2025-09-26T02:00:00+02:00;2025-09-26T03:00:00+02:00;NO1
0.74476;0.06372;11.688;2025-09-26T03:00:00+02:00;2025-09-26T04:00:00+02:00;NO1
0.73997;0.06331;11.688;2025-09-26T04:00:00+02:00;2025-09-26T05:00:00+02:00;NO1
0.73249;0.06267;11.688;2025-09-26T05:00:00+02:00;2025-09-26T06:00:00+02:00;NO1
0.71788;0.06142;11.688;2025-09-26T06:00:00+02:00;2025-09-26T07:00:00+02:00;NO1
0.84878;0.07262;11.688;2025-09-26T07:00:00+02:00;2025-09-26T08:00:00+02:00;NO1
1.05087;0.08991;11.688;2025-09-26T08:00:00+02:00;2025-09-26T09:00:00+02:00;NO1
1.24793;0.10677;11.688;2025-09-26T09:00:00+02:00;2025-09-26T10:00:00+02:00;NO1
1.01651;0.08697;11.688;2025-09-26T10:00:00+02:00;2025-09-26T11:00:00+02:00;NO1
0.93235;0.07977;11.688;2025-09-26T11:00:00+02:00;2025-09-26T12:00:00+02:00;NO1
0.87672;0.07501;11.688;2025-09-26T12:00:00+02:00;2025-09-26T13:00:00+02:00;NO1
0.81232;0.0695;11.688;2025-09-26T13:00:00+02:00;2025-09-26T14:00:00+02:00;NO1
0.806;0.06896;11.688;2025-09-26T14:00:00+02:00;2025-09-26T15:00:00+02:00;NO1
0.80226;0.06864;11.688;2025-09-26T15:00:00+02:00;2025-09-26T16:00:00+02:00;NO1
0.81325;0.06958;11.688;2025-09-26T16:00:00+02:00;2025-09-26T17:00:00+02:00;NO1
0.78426;0.0671;11.688;2025-09-26T17:00:00+02:00;2025-09-26T18:00:00+02:00;NO1
0.77047;0.06592;11.688;2025-09-26T18:00:00+02:00;2025-09-26T19:00:00+02:00;NO1
0.71262;0.06097;11.688;2025-09-26T19:00:00+02:00;2025-09-26T20:00:00+02:00;NO1
0.84119;0.07197;11.688;2025-09-26T20:00:00+02:00;2025-09-26T21:00:00+02:00;NO1
0.7831;0.067;11.688;2025-09-26T21:00:00+02:00;2025-09-26T22:00:00+02:00;NO1
0.6038;0.05166;11.688;2025-09-26T22:00:00+02:00;2025-09-26T23:00:00+02:00;NO1
0.65546;0.05608;11.688;2025-09-26T23:00:00+02:00;2025-09-27T00:00:00+02:00;NO1
0.83558;0.07149;11.688;2025-09-26T00:00:00+02:00;2025-09-26T01:00:00+02:00;NO2
0.81126;0.06941;11.688;2025-09-26T01:00:00+02:00;2025-09-26T02:00:00+02:00;NO2
0.80449;0.06883;11.688;2025-09-26T02:00:00+02:00;2025-09-26T03:00:00+02:00;NO2
0.80355;0.06875;11.688;2025-09-26T03:00:00+02:00;2025-09-26T04:00:00+02:00;NO2
0.80928;0.06924;11.688;2025-09-26T04:00:00+02:00;2025-09-26T05:00:00+02:00;NO2
0.83826;0.07172;11.688;2025-09-26T05:00:00+02:00;2025-09-26T06:00:00+02:00;NO2
0.87602;0.07495;11.688;2025-09-26T06:00:00+02:00;2025-09-26T07:00:00+02:00;NO2
